writer_id,writer_name
1071,Mohan Rajan
1072,Natasha Sahgal
1073,Erwin Gepard
1074,Roger Dunn
1075,Danny Matier
1076,Danny Wylde
1077,Sean Leigh Hart
1078,Howie Goldklang
1079,Devyn Reggio
1080,Rebecca Chastain
1081,Alexander R  nnberg
1082,Eben McGarr
1083,Arvindh Srinivasan
1084,Berty Cadilhac
1085,Kaneto Shind  
1086,Kafu Nagai
1087,Joaqu  n Bissner
1088,Mat  ss Ka  a
1089,Ilze Akmenti  a
1090,Tom Flynn
1091,Mohamed Chouikh
1092,Jacques Forgeas
1093,Andr   Santos
1094,Marco Le  o
1095,Dmitry Geller
1096,Oleg Bogaev
1097,Nick Rizzini
1098,Y  ki Okano
1099,Yuji Nagamori
1100,Adam Barry-Murphy
1101,Liam Barker
1102,Sherman Gray
1103,Timothy B. Benford
1104,Christopher Canaan
1105,Ana Lazarevi  
1106,Aloiz Brench
1107,Klim Shipenko
1108,Jean-Claude Carri  re
1109,Paul Grimault
1110,Olivier Bloch-Lain  
1111,Fyodor Khitruk
1112,Sergio Corbucci
1113,Jos   Frade
1114,Fritz Ebert
1115,Dino Maiuri
1116,Massimo De Rita
1117,Chang Cheh
1118,Ni Kuang
1119,Connor Nybo
1120,Oliver Roy
1121,Konstantin Posylaev
1122,Murad Mazayev
1123,Robert Geisler
1124,Tyler Wallach
1125,Marta Szymanek
1126,Alberto Andr  s Fasce
1127,Gonzalo Ventura
1128,Priscilla Pizzato
1129,Kamilla Krogsveen
1130,Stian Kristiansen
1131,Gr  goire Leprince-Ringuet
1132,Garrett K. Schiff
1133,Jim Burnstein
1134,James Bell
1135,Leo LeBeau
1136,Luke Stockmans
1137,Susanna Baranzhieva
1138,Pavel Kostomarov
1139,Darin Ferriola
1140,Kang Han
1141,Charles H. Irving
1142,Jai Aitch
1143,Jeon Soo-il
1144,Fr  d  ric G  lard
1145,Elodie Wallace
1146,Zbigniew Rybczy  ski
1147,Gerald Kargl
1148,Brett Haley
1149,Marc Basch
1150,Helen Frost
1151,Don MacLeod
1152,Sof  a G  mez C  rdova
1153,Adolphe Adam
1154,Robert King
1155,Kevin Ingram
1156,Beverly Gray
1157,Abbas Akbar
1158,Shinichiro Ueda
1159,Ram  n Blasi
1160,Esko Salervo
1161,Sung Ki-young
1162,Kim Tae-yong
1163,Tuva Novotny
1164,Cha Hyejin
1165,Park Hong-min
1166,JP O'Brien
1167,Scott Allen Nollen
1168,T  nis Leht
1169,Kaaren Kaer
1170,Erik Moora
1171,Lauri Lippmaa
1172,         
1173,Aaron Hendren
1174,Sarge Lacuesta
1175,Evgeni Budinov
1176,Vasko Mavrikov
1177,Stanislav Donchev
1178,Krystal Shenk
1179,Emir Skalonja
1180,Yusrah Khan
1181,Rami Katzav
1182,Arne Mattsson
1183,Per Wahl    
1184,Jacques Paris
1185,Bruno Carri  re
1186,Jacques Jacobson
1187,Batdelger Byambasuren
1188,Michael Caissie
1189,Philippe Martinez
1190,Nadadja Kemper
1191,Yusaku Yamagata
1192,Toshio Yasumi
1193,Erich von Stroheim
1194,Benjamin Glazer
1195,Maider Oleaga
1196,Brian McCarthy
1197,Irena Brignull
