director_id,director_name
788,Lewis Milestone
789,Chang Mei-chun
790,Lukas Hassel
791,Alessandro Blasetti
792,Anssi M    tt  
793,Erzhan Rustembekov
794,Stuart Pound
795,Michael Crichton
796,Htet Aung Lwyn
797,S  reyya Duru
798,Ivan Aksenchuk
799,Ulrich Hagmann
800,Ahmet Senyurt
801,Alfred J. Goulding
802,Frank van den Engel
803,Norman Taurog
804,Daniel Alfredson
805,Derek Bromhall
806,Heinrich Breloer
807,Matt Lai
808,Toshiyuki Hiruma
809,Carlo Carlei
810,Ibrahim Emara
811,David E. Perry
812,David Cronenberg
813,James L. Conway
814,Giuseppe Andrews
815,Diego Araujo
816,Beppe Recchia
817,Robert Zemeckis
818,Viktor Eisymont
819,Christopher Mills
820,JoAnn Elam
821,Vincent Selva
822,Micha   Waszy  ski
823,Christine Juarbe
824,John Gulager
825,Nina de Vroome
826,Jeff Chiba Stearns
827,Tim Lowry
828,Fred Cavender
829,Alex Winter
830,Mervyn LeRoy
831,Samson Samsonov
832,Koen Mortier
833,Kiko Stella
834,Bruno Bigoni
835,Chatrichalerm Yukol
836,Saimir Kumbaro
837,Jonathan Cianfrani
838,Rhys Walkington
839,Tomasz Konecki
840,Robert Millis
841,Tom McCarthy
842,Pimvenus Clark
843,Gabriel Virata
844,Joan Montesinos Aznar
845,Amanda Hardwick
846,Harry L. Franklin
847,Aram Rappaport
848,Luke McMahon
849,Danny Lyon
850,Arthur Hotaling
851,Matthias Sahli
852,Camille Savary
853,Florent Bossoutrot
854,Julie Artigny
855,Lisa Bou  t
856,Claire Courrier
857,Babusivan
858,Beryl Sokoloff
859,                           
860,Jeffrey McKay
861,Frederick Wiseman
862,Jason Shutt
863,Jacob Ernst
864,Devan Fujinaka
865,Alex K. E. Ching
866,Libby Spears
867,Larry Shaw
868,George Sidney
869,Gheorghe Naghi
870,Dan Robert
871,Kira Muratova
872,Anton Sukharev
873,Allen Holubar
874,Honey Irani
875,Yaron Shani
876,Ling Yun
877,Dominique MAESTRATI
878,Riccardo Donna
879,Axel Barth
880,Mogens Skot-Hansen
881,Fred Kelemen
882,Dejan Strika
883,Celeste Contratti
884,Ingrid Valencic
885,Sam Katzman
886,Aude Gogny-Goubert
887,Adam Hobbs
888,Hilde Van Mieghem
889,Jarin Phomrangsai
890,Antonin Peretjatko
891,Yang Jung-woong
892,Amos Poe
893,Scott Heming
894,Marcus Anthony Thomas
895,George Blair
896,Ana Mancera
897,John Erick Dowdle
898,Raymond Depardon
899,Edwin Middleton
900,T. Hayes Hunter
901,Thibaut Wohlfahrt
902,Gr  gory Carnoli
903,Graham Annable
904,Emma Seligman
905,Joss Whedon
906,Natalya Merkulova
907,Crescenzo G.P. Notarile
908,Anthony Bell
909,Ivo van Hove
910,Gilles Perez
911,Sofian A  ssaoui
912,Joseph Barbera
913,William Hanna
914,Robert Towne
915,Jason Paul Laxamana
916,Kurt Steinwendner
917,Jussi Kangas
918,Legaren    Hiller
919,James Hill
920,Ward Kimball
921,Connor McLaughlin
922,Katarzyna Wi  niowska
923,Eva Cvijanovi  
924,Derek Goodwin
925,Lorenzo Recio
926,Guillaume Brac
927,Alex Maisonette
928,Johannes Schaff
929,Hayden Rhodes
930,Jon Stone
931,Alan James
932,David Howard
933,Tai Kat  
934,Ted Lowry
935,James B. Clark
936,Rene Perez
937,Judit Vas
938,Bob Giraldi
939,Alexei Petrov
940,Gordon Quinn
941,Bob Hercules
942,Nathaniel Gutman
943,Karel Plicka
944,Matt Sullivan
